drug_name,side_effects,generic_name
guaifenesin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Common guaifenesin side effects may include: dizziness , headache ; drowsiness; rash; or nausea , vomiting , stomach upset .",guaifenesin
levofloxacin,"low blood sugar--headache, hunger, sweating, irritability, dizziness , nausea , fast heart rate , or feeling anxious or shaky; nerve symptoms in your hands, arms, legs, or feet--numbness, weakness, tingling, burning pain; serious mood or behavior changes-- nervousness , confusion, agitation, paranoia, hallucinations, memory problems, trouble concentrating, thoughts of suicide; or signs of tendon rupture--sudden pain, swelling, bruising, tenderness, stiffness, movement problems, or a snapping or popping sound in any of your joints (rest the joint until you receive medical care or instructions). In rare cases, levofloxacin may cause damage to your aorta, the main blood artery of the body. This could lead to dangerous bleeding or death. Get emergency medical help if you have severe and constant pain in your chest, stomach, or back. Stop taking levofloxacin and call ",levofloxacin (oral)
Augmentin,"severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); pale or yellowed skin, dark colored urine, fever, confusion or weakness; loss of appetite, upper stomach pain; little or no urination; or easy bruising or bleeding. Common Augmentin side effects may include: nausea, vomiting; diarrhea; rash, itching; vaginal itching or discharge; or diaper rash .",amoxicillin and clavulanate potassium
Levaquin,"low blood sugar - headache, hunger, sweating, irritability, dizziness , nausea , fast heart rate , or feeling anxious or shaky; nerve symptoms in your hands, arms, legs, or feet - numbness, weakness, tingling, burning pain; serious mood or behavior changes - nervousness, confusion, agitation, paranoia, hallucinations, memory problems, trouble concentrating, thoughts of suicide; or signs of tendon rupture - sudden pain, swelling, bruising, tenderness, stiffness, movement problems, or a snapping or popping sound in any of your joints (rest the joint until you receive medical care or instructions). In rare cases, levofloxacin may cause damage to your aorta, the main blood artery of the body. This could lead to dangerous bleeding or death. Get emergency medical help if you have severe and constant pain in your chest, stomach, or back. Stop taking Levaquin and call ",levofloxacin (oral)
Zithromax,"(hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning in your eyes, skin pain, red or purple skin rash that spreads and causes blistering and peeling). Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. This reaction may occur several weeks after you began using Zithromax. Call ",azithromycin
amoxicillin / clavulanate,"severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); pale or yellowed skin, dark colored urine, fever, confusion or weakness; loss of appetite, upper stomach pain; little or no urination; or easy bruising or bleeding. Common amoxicillin and clavulanate side effects may include: nausea, vomiting; diarrhea; rash, itching; vaginal itching or discharge; or diaper rash .",amoxicillin and clavulanate potassium
clarithromycin,"( hives , difficult breathing, swelling in your face or throat) or a severe skin reaction ( fever , sore throat , burning in your eyes, skin pain, red or purple skin rash that spreads and causes blistering and peeling). Call ",clarithromycin
cefdinir,"severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); fever, chills, body aches, flu symptoms; pale skin, easy bruising, unusual bleeding; seizure (convulsions); fever, weakness, confusion; dark colored urine, jaundice (yellowing of the skin or eyes); or kidney problems--little or no urination, swelling in your feet or ankles, feeling tired or short of breath. Common side effects of cefdinir may include: nausea, vomiting, stomach pain, diarrhea; vaginal itching or discharge; headache ; or rash (including diaper rash in an infant taking liquid cefdinir.",cefdinir
ciprofloxacin,"low blood sugar - headache, hunger, irritability, dizziness , nausea , fast heart rate , or feeling shaky; nerve damage symptoms - numbness, tingling, burning pain in your hands, arms, legs, or feet: serious mood or behavior changes - nervousness, confusion, agitation, paranoia, hallucinations, memory problems, trouble concentrating, thoughts of suicide; or signs of tendon rupture - sudden pain, swelling, bruising, tenderness, stiffness, movement problems, or a snapping or popping sound in any of your joints (rest the joint until you receive medical care or instructions). In rare cases, ciprofloxacin may cause damage to your aorta, the main blood artery of the body. This could lead to dangerous bleeding or death. Get emergency medical help if you have severe and constant pain in your chest, stomach, or back. Also, stop using this medicine and call ",ciprofloxacin (oral)
Amoxil,"severe stomach pain; or diarrhea that is watery or bloody (even if it occurs months after your last dose). Common Amoxil side effects may include: nausea , vomiting , diarrhea; or rash.",amoxicillin
cefuroxime,"severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); jaundice (yellowing of the skin or eyes); fever, chills; a seizure; or chest pain. Common side effects of cefuroxime may include: nausea , vomiting , diarrhea; flu-like symptoms; vaginal itching or discharge; or diaper rash (in people using the oral suspension).",cefuroxime (oral/injection)
Avelox,"low blood sugar - headache, hunger, sweating, irritability, dizziness , nausea , fast heart rate , or feeling anxious or shaky; nerve symptoms in your hands, arms, legs, or feet - numbness, weakness, tingling, burning pain; serious mood or behavior changes - nervousness, confusion, agitation, paranoia, hallucinations, memory problems, trouble concentrating, thoughts of suicide; or signs of tendon rupture - sudden pain, swelling, bruising, tenderness, stiffness, movement problems, or a snapping or popping sound in any of your joints (rest the joint until you receive medical care or instructions). In rare cases, moxifloxacin may cause damage to your aorta, the main blood artery of the body. This could lead to dangerous bleeding or death. Get emergency medical help if you have severe and constant pain in your chest, stomach, or back. Also stop using Avelox and call ",moxifloxacin (oral/injection)
Cipro,"low blood sugar - headache, hunger, irritability, dizziness , nausea , fast heart rate , or feeling shaky; nerve damage symptoms - numbness, tingling, burning pain in your hands, arms, legs, or feet: serious mood or behavior changes - nervousness, confusion, agitation, paranoia, hallucinations, memory problems, trouble concentrating, thoughts of suicide; or signs of tendon rupture - sudden pain, swelling, bruising, tenderness, stiffness, movement problems, or a snapping or popping sound in any of your joints (rest the joint until you receive medical care or instructions). In rare cases, ciprofloxacin may cause damage to your aorta, the main blood artery of the body. This could lead to dangerous bleeding or death. Get emergency medical help if you have severe and constant pain in your chest, stomach, or back. Also, stop using Cipro and call ",ciprofloxacin (oral)
